INICIO EJECUCION: Algoritmo AGEcruceOX
 - Nombre del fichero: 
 - Semilla utilizada: 36766377
Coste Final AGEcruceOX: 6.2179322E8
Solucion AGEcruceOX:
 - AGEcruceOX[0] = 76
 - AGEcruceOX[1] = 86
 - AGEcruceOX[2] = 72
 - AGEcruceOX[3] = 117
 - AGEcruceOX[4] = 44
 - AGEcruceOX[5] = 53
 - AGEcruceOX[6] = 128
 - AGEcruceOX[7] = 10
 - AGEcruceOX[8] = 48
 - AGEcruceOX[9] = 12
 - AGEcruceOX[10] = 110
 - AGEcruceOX[11] = 85
 - AGEcruceOX[12] = 18
 - AGEcruceOX[13] = 108
 - AGEcruceOX[14] = 28
 - AGEcruceOX[15] = 87
 - AGEcruceOX[16] = 106
 - AGEcruceOX[17] = 122
 - AGEcruceOX[18] = 103
 - AGEcruceOX[19] = 24
 - AGEcruceOX[20] = 125
 - AGEcruceOX[21] = 17
 - AGEcruceOX[22] = 126
 - AGEcruceOX[23] = 25
 - AGEcruceOX[24] = 16
 - AGEcruceOX[25] = 27
 - AGEcruceOX[26] = 142
 - AGEcruceOX[27] = 43
 - AGEcruceOX[28] = 100
 - AGEcruceOX[29] = 146
 - AGEcruceOX[30] = 69
 - AGEcruceOX[31] = 135
 - AGEcruceOX[32] = 134
 - AGEcruceOX[33] = 147
 - AGEcruceOX[34] = 56
 - AGEcruceOX[35] = 91
 - AGEcruceOX[36] = 66
 - AGEcruceOX[37] = 144
 - AGEcruceOX[38] = 42
 - AGEcruceOX[39] = 61
 - AGEcruceOX[40] = 78
 - AGEcruceOX[41] = 102
 - AGEcruceOX[42] = 90
 - AGEcruceOX[43] = 73
 - AGEcruceOX[44] = 54
 - AGEcruceOX[45] = 47
 - AGEcruceOX[46] = 115
 - AGEcruceOX[47] = 136
 - AGEcruceOX[48] = 52
 - AGEcruceOX[49] = 118
 - AGEcruceOX[50] = 92
 - AGEcruceOX[51] = 5
 - AGEcruceOX[52] = 93
 - AGEcruceOX[53] = 114
 - AGEcruceOX[54] = 11
 - AGEcruceOX[55] = 1
 - AGEcruceOX[56] = 94
 - AGEcruceOX[57] = 23
 - AGEcruceOX[58] = 89
 - AGEcruceOX[59] = 4
 - AGEcruceOX[60] = 82
 - AGEcruceOX[61] = 101
 - AGEcruceOX[62] = 6
 - AGEcruceOX[63] = 50
 - AGEcruceOX[64] = 121
 - AGEcruceOX[65] = 37
 - AGEcruceOX[66] = 113
 - AGEcruceOX[67] = 35
 - AGEcruceOX[68] = 32
 - AGEcruceOX[69] = 57
 - AGEcruceOX[70] = 51
 - AGEcruceOX[71] = 30
 - AGEcruceOX[72] = 0
 - AGEcruceOX[73] = 36
 - AGEcruceOX[74] = 60
 - AGEcruceOX[75] = 116
 - AGEcruceOX[76] = 132
 - AGEcruceOX[77] = 21
 - AGEcruceOX[78] = 139
 - AGEcruceOX[79] = 88
 - AGEcruceOX[80] = 8
 - AGEcruceOX[81] = 46
 - AGEcruceOX[82] = 123
 - AGEcruceOX[83] = 141
 - AGEcruceOX[84] = 67
 - AGEcruceOX[85] = 145
 - AGEcruceOX[86] = 124
 - AGEcruceOX[87] = 107
 - AGEcruceOX[88] = 7
 - AGEcruceOX[89] = 138
 - AGEcruceOX[90] = 3
 - AGEcruceOX[91] = 38
 - AGEcruceOX[92] = 41
 - AGEcruceOX[93] = 127
 - AGEcruceOX[94] = 105
 - AGEcruceOX[95] = 81
 - AGEcruceOX[96] = 22
 - AGEcruceOX[97] = 64
 - AGEcruceOX[98] = 149
 - AGEcruceOX[99] = 143
 - AGEcruceOX[100] = 39
 - AGEcruceOX[101] = 59
 - AGEcruceOX[102] = 83
 - AGEcruceOX[103] = 74
 - AGEcruceOX[104] = 63
 - AGEcruceOX[105] = 26
 - AGEcruceOX[106] = 119
 - AGEcruceOX[107] = 77
 - AGEcruceOX[108] = 31
 - AGEcruceOX[109] = 104
 - AGEcruceOX[110] = 68
 - AGEcruceOX[111] = 65
 - AGEcruceOX[112] = 40
 - AGEcruceOX[113] = 14
 - AGEcruceOX[114] = 29
 - AGEcruceOX[115] = 109
 - AGEcruceOX[116] = 79
 - AGEcruceOX[117] = 71
 - AGEcruceOX[118] = 55
 - AGEcruceOX[119] = 137
 - AGEcruceOX[120] = 95
 - AGEcruceOX[121] = 112
 - AGEcruceOX[122] = 96
 - AGEcruceOX[123] = 129
 - AGEcruceOX[124] = 111
 - AGEcruceOX[125] = 80
 - AGEcruceOX[126] = 120
 - AGEcruceOX[127] = 2
 - AGEcruceOX[128] = 15
 - AGEcruceOX[129] = 62
 - AGEcruceOX[130] = 97
 - AGEcruceOX[131] = 45
 - AGEcruceOX[132] = 34
 - AGEcruceOX[133] = 131
 - AGEcruceOX[134] = 98
 - AGEcruceOX[135] = 75
 - AGEcruceOX[136] = 140
 - AGEcruceOX[137] = 130
 - AGEcruceOX[138] = 133
 - AGEcruceOX[139] = 20
 - AGEcruceOX[140] = 148
 - AGEcruceOX[141] = 99
 - AGEcruceOX[142] = 33
 - AGEcruceOX[143] = 49
 - AGEcruceOX[144] = 13
 - AGEcruceOX[145] = 9
 - AGEcruceOX[146] = 84
 - AGEcruceOX[147] = 58
 - AGEcruceOX[148] = 70
 - AGEcruceOX[149] = 19
Tiempo de Ejecucion: 9709 ms

