INICIO EJECUCION: Algoritmo AGEcruceOX
 - Nombre del fichero: 
 - Semilla utilizada: 76637736
Coste Final AGEcruceOX: 1.58009882E9
Solucion AGEcruceOX:
 - AGEcruceOX[0] = 98
 - AGEcruceOX[1] = 18
 - AGEcruceOX[2] = 75
 - AGEcruceOX[3] = 83
 - AGEcruceOX[4] = 39
 - AGEcruceOX[5] = 86
 - AGEcruceOX[6] = 72
 - AGEcruceOX[7] = 42
 - AGEcruceOX[8] = 24
 - AGEcruceOX[9] = 74
 - AGEcruceOX[10] = 46
 - AGEcruceOX[11] = 93
 - AGEcruceOX[12] = 65
 - AGEcruceOX[13] = 97
 - AGEcruceOX[14] = 30
 - AGEcruceOX[15] = 31
 - AGEcruceOX[16] = 40
 - AGEcruceOX[17] = 10
 - AGEcruceOX[18] = 57
 - AGEcruceOX[19] = 96
 - AGEcruceOX[20] = 78
 - AGEcruceOX[21] = 61
 - AGEcruceOX[22] = 58
 - AGEcruceOX[23] = 45
 - AGEcruceOX[24] = 26
 - AGEcruceOX[25] = 88
 - AGEcruceOX[26] = 14
 - AGEcruceOX[27] = 29
 - AGEcruceOX[28] = 32
 - AGEcruceOX[29] = 85
 - AGEcruceOX[30] = 2
 - AGEcruceOX[31] = 12
 - AGEcruceOX[32] = 21
 - AGEcruceOX[33] = 71
 - AGEcruceOX[34] = 52
 - AGEcruceOX[35] = 49
 - AGEcruceOX[36] = 19
 - AGEcruceOX[37] = 68
 - AGEcruceOX[38] = 60
 - AGEcruceOX[39] = 54
 - AGEcruceOX[40] = 79
 - AGEcruceOX[41] = 5
 - AGEcruceOX[42] = 3
 - AGEcruceOX[43] = 47
 - AGEcruceOX[44] = 95
 - AGEcruceOX[45] = 73
 - AGEcruceOX[46] = 0
 - AGEcruceOX[47] = 56
 - AGEcruceOX[48] = 55
 - AGEcruceOX[49] = 51
 - AGEcruceOX[50] = 87
 - AGEcruceOX[51] = 11
 - AGEcruceOX[52] = 70
 - AGEcruceOX[53] = 20
 - AGEcruceOX[54] = 22
 - AGEcruceOX[55] = 92
 - AGEcruceOX[56] = 1
 - AGEcruceOX[57] = 80
 - AGEcruceOX[58] = 53
 - AGEcruceOX[59] = 6
 - AGEcruceOX[60] = 77
 - AGEcruceOX[61] = 67
 - AGEcruceOX[62] = 43
 - AGEcruceOX[63] = 37
 - AGEcruceOX[64] = 99
 - AGEcruceOX[65] = 50
 - AGEcruceOX[66] = 62
 - AGEcruceOX[67] = 13
 - AGEcruceOX[68] = 34
 - AGEcruceOX[69] = 4
 - AGEcruceOX[70] = 64
 - AGEcruceOX[71] = 7
 - AGEcruceOX[72] = 9
 - AGEcruceOX[73] = 76
 - AGEcruceOX[74] = 48
 - AGEcruceOX[75] = 44
 - AGEcruceOX[76] = 90
 - AGEcruceOX[77] = 91
 - AGEcruceOX[78] = 8
 - AGEcruceOX[79] = 35
 - AGEcruceOX[80] = 27
 - AGEcruceOX[81] = 84
 - AGEcruceOX[82] = 89
 - AGEcruceOX[83] = 82
 - AGEcruceOX[84] = 94
 - AGEcruceOX[85] = 38
 - AGEcruceOX[86] = 36
 - AGEcruceOX[87] = 16
 - AGEcruceOX[88] = 25
 - AGEcruceOX[89] = 66
 - AGEcruceOX[90] = 81
 - AGEcruceOX[91] = 63
 - AGEcruceOX[92] = 41
 - AGEcruceOX[93] = 28
 - AGEcruceOX[94] = 17
 - AGEcruceOX[95] = 15
 - AGEcruceOX[96] = 59
 - AGEcruceOX[97] = 23
 - AGEcruceOX[98] = 33
 - AGEcruceOX[99] = 69
Tiempo de Ejecucion: 4266 ms

