INICIO EJECUCION: Algoritmo AGEcruceOX
 - Nombre del fichero: 
 - Semilla utilizada: 67663773
Coste Final AGEcruceOX: 4.9691788E7
Solucion AGEcruceOX:
 - AGEcruceOX[0] = 199
 - AGEcruceOX[1] = 104
 - AGEcruceOX[2] = 185
 - AGEcruceOX[3] = 254
 - AGEcruceOX[4] = 242
 - AGEcruceOX[5] = 52
 - AGEcruceOX[6] = 170
 - AGEcruceOX[7] = 40
 - AGEcruceOX[8] = 56
 - AGEcruceOX[9] = 64
 - AGEcruceOX[10] = 134
 - AGEcruceOX[11] = 140
 - AGEcruceOX[12] = 87
 - AGEcruceOX[13] = 54
 - AGEcruceOX[14] = 63
 - AGEcruceOX[15] = 141
 - AGEcruceOX[16] = 212
 - AGEcruceOX[17] = 191
 - AGEcruceOX[18] = 36
 - AGEcruceOX[19] = 29
 - AGEcruceOX[20] = 15
 - AGEcruceOX[21] = 93
 - AGEcruceOX[22] = 225
 - AGEcruceOX[23] = 238
 - AGEcruceOX[24] = 50
 - AGEcruceOX[25] = 25
 - AGEcruceOX[26] = 139
 - AGEcruceOX[27] = 226
 - AGEcruceOX[28] = 69
 - AGEcruceOX[29] = 44
 - AGEcruceOX[30] = 65
 - AGEcruceOX[31] = 34
 - AGEcruceOX[32] = 84
 - AGEcruceOX[33] = 10
 - AGEcruceOX[34] = 233
 - AGEcruceOX[35] = 243
 - AGEcruceOX[36] = 48
 - AGEcruceOX[37] = 100
 - AGEcruceOX[38] = 115
 - AGEcruceOX[39] = 230
 - AGEcruceOX[40] = 49
 - AGEcruceOX[41] = 207
 - AGEcruceOX[42] = 20
 - AGEcruceOX[43] = 188
 - AGEcruceOX[44] = 150
 - AGEcruceOX[45] = 47
 - AGEcruceOX[46] = 164
 - AGEcruceOX[47] = 165
 - AGEcruceOX[48] = 169
 - AGEcruceOX[49] = 122
 - AGEcruceOX[50] = 227
 - AGEcruceOX[51] = 102
 - AGEcruceOX[52] = 114
 - AGEcruceOX[53] = 16
 - AGEcruceOX[54] = 91
 - AGEcruceOX[55] = 106
 - AGEcruceOX[56] = 178
 - AGEcruceOX[57] = 208
 - AGEcruceOX[58] = 5
 - AGEcruceOX[59] = 72
 - AGEcruceOX[60] = 46
 - AGEcruceOX[61] = 229
 - AGEcruceOX[62] = 89
 - AGEcruceOX[63] = 85
 - AGEcruceOX[64] = 228
 - AGEcruceOX[65] = 71
 - AGEcruceOX[66] = 18
 - AGEcruceOX[67] = 116
 - AGEcruceOX[68] = 97
 - AGEcruceOX[69] = 180
 - AGEcruceOX[70] = 183
 - AGEcruceOX[71] = 23
 - AGEcruceOX[72] = 39
 - AGEcruceOX[73] = 149
 - AGEcruceOX[74] = 153
 - AGEcruceOX[75] = 2
 - AGEcruceOX[76] = 19
 - AGEcruceOX[77] = 186
 - AGEcruceOX[78] = 201
 - AGEcruceOX[79] = 155
 - AGEcruceOX[80] = 9
 - AGEcruceOX[81] = 129
 - AGEcruceOX[82] = 26
 - AGEcruceOX[83] = 174
 - AGEcruceOX[84] = 58
 - AGEcruceOX[85] = 12
 - AGEcruceOX[86] = 187
 - AGEcruceOX[87] = 3
 - AGEcruceOX[88] = 182
 - AGEcruceOX[89] = 211
 - AGEcruceOX[90] = 14
 - AGEcruceOX[91] = 105
 - AGEcruceOX[92] = 148
 - AGEcruceOX[93] = 222
 - AGEcruceOX[94] = 252
 - AGEcruceOX[95] = 214
 - AGEcruceOX[96] = 203
 - AGEcruceOX[97] = 179
 - AGEcruceOX[98] = 77
 - AGEcruceOX[99] = 98
 - AGEcruceOX[100] = 195
 - AGEcruceOX[101] = 236
 - AGEcruceOX[102] = 176
 - AGEcruceOX[103] = 86
 - AGEcruceOX[104] = 215
 - AGEcruceOX[105] = 45
 - AGEcruceOX[106] = 197
 - AGEcruceOX[107] = 231
 - AGEcruceOX[108] = 83
 - AGEcruceOX[109] = 241
 - AGEcruceOX[110] = 109
 - AGEcruceOX[111] = 152
 - AGEcruceOX[112] = 66
 - AGEcruceOX[113] = 94
 - AGEcruceOX[114] = 145
 - AGEcruceOX[115] = 154
 - AGEcruceOX[116] = 213
 - AGEcruceOX[117] = 121
 - AGEcruceOX[118] = 190
 - AGEcruceOX[119] = 216
 - AGEcruceOX[120] = 136
 - AGEcruceOX[121] = 78
 - AGEcruceOX[122] = 205
 - AGEcruceOX[123] = 21
 - AGEcruceOX[124] = 251
 - AGEcruceOX[125] = 68
 - AGEcruceOX[126] = 224
 - AGEcruceOX[127] = 147
