INICIO EJECUCION: Algoritmo AGEcruceOX
 - Nombre del fichero: 
 - Semilla utilizada: 67663773
Coste Final AGEcruceOX: 1.58935552E9
Solucion AGEcruceOX:
 - AGEcruceOX[0] = 49
 - AGEcruceOX[1] = 61
 - AGEcruceOX[2] = 19
 - AGEcruceOX[3] = 72
 - AGEcruceOX[4] = 82
 - AGEcruceOX[5] = 50
 - AGEcruceOX[6] = 71
 - AGEcruceOX[7] = 76
 - AGEcruceOX[8] = 56
 - AGEcruceOX[9] = 98
 - AGEcruceOX[10] = 3
 - AGEcruceOX[11] = 79
 - AGEcruceOX[12] = 54
 - AGEcruceOX[13] = 42
 - AGEcruceOX[14] = 57
 - AGEcruceOX[15] = 0
 - AGEcruceOX[16] = 44
 - AGEcruceOX[17] = 81
 - AGEcruceOX[18] = 40
 - AGEcruceOX[19] = 39
 - AGEcruceOX[20] = 73
 - AGEcruceOX[21] = 95
 - AGEcruceOX[22] = 65
 - AGEcruceOX[23] = 67
 - AGEcruceOX[24] = 83
 - AGEcruceOX[25] = 62
 - AGEcruceOX[26] = 27
 - AGEcruceOX[27] = 45
 - AGEcruceOX[28] = 24
 - AGEcruceOX[29] = 75
 - AGEcruceOX[30] = 93
 - AGEcruceOX[31] = 33
 - AGEcruceOX[32] = 16
 - AGEcruceOX[33] = 92
 - AGEcruceOX[34] = 32
 - AGEcruceOX[35] = 70
 - AGEcruceOX[36] = 66
 - AGEcruceOX[37] = 28
 - AGEcruceOX[38] = 78
 - AGEcruceOX[39] = 69
 - AGEcruceOX[40] = 37
 - AGEcruceOX[41] = 58
 - AGEcruceOX[42] = 96
 - AGEcruceOX[43] = 14
 - AGEcruceOX[44] = 9
 - AGEcruceOX[45] = 29
 - AGEcruceOX[46] = 21
 - AGEcruceOX[47] = 22
 - AGEcruceOX[48] = 88
 - AGEcruceOX[49] = 59
 - AGEcruceOX[50] = 41
 - AGEcruceOX[51] = 77
 - AGEcruceOX[52] = 63
 - AGEcruceOX[53] = 91
 - AGEcruceOX[54] = 6
 - AGEcruceOX[55] = 52
 - AGEcruceOX[56] = 97
 - AGEcruceOX[57] = 51
 - AGEcruceOX[58] = 53
 - AGEcruceOX[59] = 48
 - AGEcruceOX[60] = 80
 - AGEcruceOX[61] = 11
 - AGEcruceOX[62] = 34
 - AGEcruceOX[63] = 2
 - AGEcruceOX[64] = 1
 - AGEcruceOX[65] = 13
 - AGEcruceOX[66] = 30
 - AGEcruceOX[67] = 15
 - AGEcruceOX[68] = 46
 - AGEcruceOX[69] = 60
 - AGEcruceOX[70] = 89
 - AGEcruceOX[71] = 10
 - AGEcruceOX[72] = 23
 - AGEcruceOX[73] = 55
 - AGEcruceOX[74] = 35
 - AGEcruceOX[75] = 36
 - AGEcruceOX[76] = 31
 - AGEcruceOX[77] = 84
 - AGEcruceOX[78] = 43
 - AGEcruceOX[79] = 12
 - AGEcruceOX[80] = 68
 - AGEcruceOX[81] = 64
 - AGEcruceOX[82] = 94
 - AGEcruceOX[83] = 38
 - AGEcruceOX[84] = 4
 - AGEcruceOX[85] = 8
 - AGEcruceOX[86] = 74
 - AGEcruceOX[87] = 25
 - AGEcruceOX[88] = 90
 - AGEcruceOX[89] = 86
 - AGEcruceOX[90] = 5
 - AGEcruceOX[91] = 99
 - AGEcruceOX[92] = 17
 - AGEcruceOX[93] = 47
 - AGEcruceOX[94] = 20
 - AGEcruceOX[95] = 18
 - AGEcruceOX[96] = 7
 - AGEcruceOX[97] = 26
 - AGEcruceOX[98] = 87
 - AGEcruceOX[99] = 85
Tiempo de Ejecucion: 4317 ms

